Simulation Time,Population size,Population-0-4yrs,Population-5-12yrs,Population-13-17yrs,Population-18-29yrs,Population-30-49yrs,Population-50-64yrs,Population-65-74yrs,Population-75+yrs,Cumulative incidence,Cumulative incidence-0-4yrs,Cumulative incidence-5-12yrs,Cumulative incidence-13-17yrs,Cumulative incidence-18-29yrs,Cumulative incidence-30-49yrs,Cumulative incidence-50-64yrs,Cumulative incidence-65-74yrs,Cumulative incidence-75+yrs,Cumulative hospitalizations,Cumulative hospitalizations-0-4yrs,Cumulative hospitalizations-5-12yrs,Cumulative hospitalizations-13-17yrs,Cumulative hospitalizations-18-29yrs,Cumulative hospitalizations-30-49yrs,Cumulative hospitalizations-50-64yrs,Cumulative hospitalizations-65-74yrs,Cumulative hospitalizations-75+yrs,Cumulative death,Cumulative death-0-4yrs,Cumulative death-5-12yrs,Cumulative death-13-17yrs,Cumulative death-18-29yrs,Cumulative death-30-49yrs,Cumulative death-50-64yrs,Cumulative death-65-74yrs,Cumulative death-75+yrs,Cumulative vaccination,Cumulative vaccination-0-4yrs,Cumulative vaccination-5-12yrs,Cumulative vaccination-13-17yrs,Cumulative vaccination-18-29yrs,Cumulative vaccination-30-49yrs,Cumulative vaccination-50-64yrs,Cumulative vaccination-65-74yrs,Cumulative vaccination-75+yrs,Cumulative hospitalization rate-0-4yrs,Cumulative hospitalization rate-5-12yrs,Cumulative hospitalization rate-13-17yrs,Cumulative hospitalization rate-18-29yrs,Cumulative hospitalization rate-30-49yrs,Cumulative hospitalization rate-50-64yrs,Cumulative hospitalization rate-65-74yrs,Cumulative hospitalization rate-75+yrs,Cumulative hospitalization rate,Cumulative death rate,Cumulative death rate-0-4yrs,Cumulative death rate-5-12yrs,Cumulative death rate-13-17yrs,Cumulative death rate-18-29yrs,Cumulative death rate-30-49yrs,Cumulative death rate-50-64yrs,Cumulative death rate-65-74yrs,Cumulative death rate-75+yrs,Cumulative vaccination rate,Cumulative vaccination rate-0-4yrs,Cumulative vaccination rate-5-12yrs,Cumulative vaccination rate-13-17yrs,Cumulative vaccination rate-18-29yrs,Cumulative vaccination rate-30-49yrs,Cumulative vaccination rate-50-64yrs,Cumulative vaccination rate-65-74yrs,Cumulative vaccination rate-75+yrs,Cumulative incidence-0-4yrs (%),Cumulative incidence-5-12yrs (%),Cumulative incidence-13-17yrs (%),Cumulative incidence-18-29yrs (%),Cumulative incidence-30-49yrs (%),Cumulative incidence-50-64yrs (%),Cumulative incidence-65-74yrs (%),Cumulative incidence-75+yrs (%),Cumulative hospitalizations-0-4yrs (%),Cumulative hospitalizations-5-12yrs (%),Cumulative hospitalizations-13-17yrs (%),Cumulative hospitalizations-18-29yrs (%),Cumulative hospitalizations-30-49yrs (%),Cumulative hospitalizations-50-64yrs (%),Cumulative hospitalizations-65-74yrs (%),Cumulative hospitalizations-75+yrs (%),Cumulative death-0-4yrs (%),Cumulative death-5-12yrs (%),Cumulative death-13-17yrs (%),Cumulative death-18-29yrs (%),Cumulative death-30-49yrs (%),Cumulative death-50-64yrs (%),Cumulative death-65-74yrs (%),Cumulative death-75+yrs (%),Simulation Period,Incidence,Incidence-0-4yrs,Incidence-5-12yrs,Incidence-13-17yrs,Incidence-18-29yrs,Incidence-30-49yrs,Incidence-50-64yrs,Incidence-65-74yrs,Incidence-75+yrs,New hospitalizations,New hospitalizations-0-4yrs,New hospitalizations-5-12yrs,New hospitalizations-13-17yrs,New hospitalizations-18-29yrs,New hospitalizations-30-49yrs,New hospitalizations-50-64yrs,New hospitalizations-65-74yrs,New hospitalizations-75+yrs,New hosp-Current,New hosp-Novel,Incidence rate,Incidence rate-0-4yrs,Incidence rate-5-12yrs,Incidence rate-13-17yrs,Incidence rate-18-29yrs,Incidence rate-30-49yrs,Incidence rate-50-64yrs,Incidence rate-65-74yrs,Incidence rate-75+yrs,New hospitalization rate,Hospitalization rate-0-4yrs,Hospitalization rate-5-12yrs,Hospitalization rate-13-17yrs,Hospitalization rate-18-29yrs,Hospitalization rate-30-49yrs,Hospitalization rate-50-64yrs,Hospitalization rate-65-74yrs,Hospitalization rate-75+yrs,% of new hospitalizations due to Current,% of new hospitalizations due to Novel,Interventions,Observation Time,Obs: Population size,Obs: Cumulative hospitalizations,Obs: Cumulative death,Obs: Cumulative vaccination,Obs: Cumulative hospitalization rate,Obs: Cumulative death rate,Obs: Cumulative vaccination rate,Observation Period,Obs: Incidence,Obs: New hospitalizations,Obs: New hosp-Current,Obs: New hosp-Novel,Obs: Incidence rate,Obs: New hospitalization rate,Obs: % of new hospitalizations due to Current,Obs: % of new hospitalizations due to Novel,Obs: Interventions
0.0,500001,30324,49819,31977,81672,128125,95849,47855,34380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],,,,,,,,,,,,,,,,,,[0]
0.019230769230769232,500005,30324,49819,31978,81674,128126,95849,47855,34380,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99998000004e-06,0.0,0.0,9.381743127873159e-05,2.4488196689195808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[0],0.0,500005,0,0,0,,,,1,5,0,0,0,,,,,[0]
0.038461538461538464,500011,30324,49819,31980,81674,128127,95850,47857,34380,13,0,1,5,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.0,,,,,,,,,,,,,,,,,2,8,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.5999840001599982e-05,0.0,2.0072663040205544e-05,6.254299831133904e-05,0.0,7.80481713313457e-06,2.0866154054815386e-05,4.1792916100720926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[1],0.019230769230769232,500011,0,0,0,0.0,0.0,0.0,2,8,0,0,0,1.5999840001599982e-05,0.0,,,[1]
0.057692307692307696,500013,30324,49819,31980,81674,128128,95850,47858,34380,44,1,3,11,7,8,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.06818181818181818,0.25,0.1590909090909091,0.18181818181818182,0.13636363636363635,0.1590909090909091,0.022727272727272728,,,,,,,,,,,,,,,,,3,31,1,2,6,5,7,4,5,1,0,0,0,0,0,0,0,0,0,0,0,6.199863603000735e-05,3.297717979158422e-05,4.014532608041109e-05,0.0001876172607879925,6.12189925802581e-05,5.463329352907662e-05,4.173187271778821e-05,0.00010447792381469795,2.908667830133799e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[0],0.038461538461538464,500013,0,0,0,0.0,0.0,0.0,3,31,0,0,0,6.199863603000735e-05,0.0,,,[0]
0.07692307692307693,500020,30325,49819,31981,81674,128130,95851,47858,34382,136,6,14,20,29,31,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04411764705882353,0.10294117647058823,0.14705882352941177,0.21323529411764705,0.22794117647058823,0.1323529411764706,0.10294117647058823,0.029411764705882353,,,,,,,,,,,,,,,,,4,92,5,11,9,22,23,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0.00018399521612438076,0.00016488589895792113,0.00022079929344226098,0.00028142589118198874,0.0002693635673531356,0.000179507992007992,0.00012519561815336463,0.0001462660370262025,8.726003490401397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[0],0.057692307692307696,500020,0,0,0,0.0,0.0,0.0,4,92,0,0,0,0.00018399521612438076,0.0,,,[0]
0.09615384615384616,500033,30326,49820,31983,81677,128134,95852,47859,34382,314,15,29,38,74,70,56,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777070063694268,0.09235668789808917,0.12101910828025478,0.2356687898089172,0.2229299363057325,0.17834394904458598,0.0732484076433121,0.028662420382165606,,,,,,,,,,,,,,,,,5,178,9,15,18,45,39,38,9,5,0,0,0,0,0,0,0,0,0,0,0,0.0003559857605695772,0.0002967848309975268,0.0003010899456030832,0.0005628341827960352,0.0005509709332223229,0.0003043783657223133,0.0003964486546827889,0.00018805633331940322,0.00014542493165028213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[0],0.07692307692307693,500033,0,0,0,0.0,0.0,0.0,5,178,0,0,0,0.0003559857605695772,0.0,,,[0]
0.11538461538461539,500036,30327,49820,31983,81678,128135,95852,47859,34382,772,28,77,86,171,198,160,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03626943005181347,0.09974093264248704,0.11139896373056994,0.22150259067357514,0.25647668393782386,0.20725388601036268,0.04922279792746114,0.018134715025906734,,,,,,,,,,,,,,,,,6,458,13,48,48,97,128,104,15,5,0,0,0,0,0,0,0,0,0,0,0,0.0009159395479898327,0.00042867506430125963,0.0009634684865515857,0.0015007972985648626,0.0011876048336741066,0.0009989542198011456,0.0010850060509952843,0.0003134206732276061,0.00014542493165028213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[0],0.09615384615384616,500036,0,0,0,0.0,0.0,0.0,6,458,0,0,0,0.0009159395479898327,0.0,,,[0]
0.13461538461538464,500044,30327,49820,31985,81679,128137,95854,47860,34382,1665,62,176,177,348,476,331,66,29,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0432532810315688e-05,0.0,2.9084986330056425e-05,3.9996480309732745e-06,1.9998240154866372e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9084986330056425e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037237237237237236,0.1057057057057057,0.1063063063063063,0.209009009009009,0.28588588588588587,0.1987987987987988,0.03963963963963964,0.017417417417417418,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,893,34,99,91,177,278,171,28,15,2,0,0,0,0,0,1,0,1,2,0,0.0017858714172579574,0.0011211131994592278,0.0019871537535126457,0.0028452615451958854,0.00216704620583266,0.002169586763959886,0.0017840003338480156,0.000585051923358198,0.00043627479495084637,3.999712020734507e-06,0.0,0.0,0.0,0.0,0.0,1.0432750490339273e-05,0.0,2.9084986330056425e-05,1.0,0.0,[0],0.11538461538461539,500044,2,1,0,3.9996480309732745e-06,1.9998240154866372e-06,0.0,7,893,2,2,0,0.0017858714172579574,3.999712020734507e-06,1.0,0.0,[0]
0.15384615384615385,500049,30327,49820,31986,81679,128138,95857,47860,34382,3455,147,361,395,720,998,633,132,69,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0432206307311933e-05,0.0,2.9084986330056425e-05,3.999608038412235e-06,1.9998040192061176e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9084986330056425e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042547033285094064,0.1044862518089725,0.11432706222865413,0.20839363241678727,0.28885672937771345,0.18321273516642547,0.038205499276410995,0.01997105643994211,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1790,85,185,218,372,522,302,66,40,0,0,0,0,0,0,0,0,0,0,0,0.0035796849877210804,0.0028027829986480694,0.0037133681252509033,0.006815694856964202,0.004554414231320168,0.004073764798613984,0.003150624908715338,0.0013790221479314667,0.001163399453202257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[0],0.13461538461538464,500049,2,1,0,3.999608038412235e-06,1.9998040192061176e-06,0.0,8,1790,0,0,0,0.0035796849877210804,0.0,,,[0]
0.1730769230769231,500056,30327,49820,31986,81680,128144,95857,47860,34382,7186,313,759,776,1481,2093,1340,282,142,6,0,0,0,1,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.2242899118511263e-05,0.0,3.1296618921935804e-05,0.0,5.816997266011285e-05,1.1998656150511143e-05,1.9997760250851904e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9084986330056425e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04355691622599499,0.10562204286111884,0.10798775396604508,0.2060951850821041,0.29126078485944895,0.18647369885889228,0.0392429724464236,0.019760645699972167,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9,3731,166,398,381,761,1095,707,150,73,4,0,0,0,1,0,2,0,1,4,0,0.007461268795658026,0.005473670326771524,0.007988759534323564,0.011911461264303133,0.009316960295792064,0.008545474410401287,0.007375569859269537,0.0031341412452987882,0.002123204002094119,7.99921607682447e-06,0.0,0.0,0.0,1.2243049008925183e-05,0.0,2.0864412614623867e-05,0.0,2.9084986330056425e-05,1.0,0.0,[0],0.15384615384615385,500056,6,1,0,1.1998656150511143e-05,1.9997760250851904e-06,0.0,9,3731,4,4,0,0.007461268795658026,7.99921607682447e-06,1.0,0.0,[0]
